tweet_id,retweet_count,favorite_count,create_date
831315979191906304,1264,7117,2017-02-14 01:35:49+00:00
831309418084069378,2786,12819,2017-02-14 01:09:44+00:00
831262627380748289,2350,13066,2017-02-13 22:03:49+00:00
830956169170665475,1735,8735,2017-02-13 01:46:03+00:00
830583320585068544,19297,73397,2017-02-12 01:04:29+00:00
830173239259324417,6554,0,2017-02-10 21:54:58+00:00
830097400375152640,3455,10804,2017-02-10 16:53:37+00:00
829878982036299777,5757,0,2017-02-10 02:25:42+00:00
829861396166877184,2243,13441,2017-02-10 01:15:49+00:00
829501995190984704,12224,34913,2017-02-09 01:27:41+00:00
829449946868879360,2329,11519,2017-02-08 22:00:52+00:00
829374341691346946,10706,38074,2017-02-08 17:00:26+00:00
829141528400556032,8530,26952,2017-02-08 01:35:19+00:00
829011960981237760,18627,58302,2017-02-07 17:00:28+00:00
828801551087042563,3901,0,2017-02-07 03:04:22+00:00
828770345708580865,6746,28085,2017-02-07 01:00:22+00:00
828708714936930305,12882,40241,2017-02-06 20:55:28+00:00
828650029636317184,1544,10467,2017-02-06 17:02:17+00:00
828409743546925057,1305,6898,2017-02-06 01:07:28+00:00
828408677031882754,1477,8398,2017-02-06 01:03:14+00:00
828381636999917570,2554,13864,2017-02-05 23:15:47+00:00
828376505180889089,1216,8112,2017-02-05 22:55:23+00:00
828372645993398273,3344,13756,2017-02-05 22:40:03+00:00
828361771580813312,195,2408,2017-02-05 21:56:51+00:00
828046555563323392,3260,12923,2017-02-05 01:04:17+00:00
828011680017821696,2451,11411,2017-02-04 22:45:42+00:00
827933404142436356,5987,22180,2017-02-04 17:34:40+00:00
827653905312006145,3433,16983,2017-02-03 23:04:02+00:00
827600520311402496,1082,8143,2017-02-03 19:31:54+00:00
827324948884643840,3510,17523,2017-02-03 01:16:53+00:00
827228250799742977,13517,0,2017-02-02 18:52:38+00:00
827199976799354881,2579,11659,2017-02-02 17:00:17+00:00
826958653328592898,5757,23767,2017-02-02 01:01:21+00:00
826848821049180160,11878,40325,2017-02-01 17:44:55+00:00
826615380357632002,4521,0,2017-02-01 02:17:19+00:00
826598799820865537,292,5637,2017-02-01 01:11:25+00:00
826598365270007810,2709,11117,2017-02-01 01:09:42+00:00
826476773533745153,4821,20275,2017-01-31 17:06:32+00:00
826240494070030336,2965,14614,2017-01-31 01:27:39+00:00
826204788643753985,1075,5361,2017-01-30 23:05:46+00:00
826115272272650244,3599,17299,2017-01-30 17:10:04+00:00
825876512159186944,2146,11525,2017-01-30 01:21:19+00:00
825829644528148480,2848,14025,2017-01-29 22:15:05+00:00
825535076884762624,19669,56413,2017-01-29 02:44:34+00:00
825147591692263424,5244,20181,2017-01-28 01:04:51+00:00
825120256414846976,1483,0,2017-01-27 23:16:13+00:00
825026590719483904,1483,7020,2017-01-27 17:04:02+00:00
824796380199809024,6288,0,2017-01-27 01:49:15+00:00
824775126675836928,4069,16508,2017-01-27 00:24:48+00:00
824663926340194305,1993,11113,2017-01-26 17:02:56+00:00
824325613288833024,11848,12999,2017-01-25 18:38:36+00:00
824297048279236611,4463,16625,2017-01-25 16:45:05+00:00
824025158776213504,679,5255,2017-01-24 22:44:42+00:00
823939628516474880,3123,11755,2017-01-24 17:04:50+00:00
823719002937630720,12953,0,2017-01-24 02:28:08+00:00
823699002998870016,2772,13826,2017-01-24 01:08:40+00:00
823581115634085888,3031,14376,2017-01-23 17:20:14+00:00
823333489516937216,31,777,2017-01-23 00:56:15+00:00
823322678127919110,4637,17437,2017-01-23 00:13:17+00:00
823269594223824897,11421,0,2017-01-22 20:42:21+00:00
822975315408461824,3958,19139,2017-01-22 01:12:59+00:00
822872901745569793,48265,132810,2017-01-21 18:26:02+00:00
822859134160621569,2622,14576,2017-01-21 17:31:20+00:00
